"Station","lon","lat"
"Panania Station",150.997845,-33.9543247
"Parramatta Station",151.0048271,-33.817225
"Paterson Station",151.6147255,-32.6023682
"Pendle Hill Station",150.9564076,-33.8013251
"Pennant Hills Station",151.0724562,-33.7381031
"Penrith Station",150.6958229,-33.7500866
"Penrose Station",150.211821,-34.6723923
"Penshurst Station",151.0891512,-33.9661564
"Petersham Station",151.1551268,-33.8939191
"Picton Station",150.6126083,-34.179007
"Point Clare Station",151.3283688,-33.4461238
"Port Kembla North Station",150.8883538,-34.4727494
"Port Kembla Station",150.9050134,-34.4839129
"Punchbowl Station",151.0554728,-33.925424
"Pymble Station",151.1419637,-33.7446757
"Quakers Hill Station",150.886186,-33.7274173
"Redfern Station",151.1989631,-33.8922244
"Regents Park Station",151.0241291,-33.8830336
"Revesby Station",151.0148924,-33.9524486
"Rhodes Station",151.0870825,-33.8305508
"Richmond Station",150.7525297,-33.5988159
"Riverstone Station",150.8546954,-33.6645531
"Riverwood Station",151.0524899,-33.9514785
"Rockdale Station",151.1367137,-33.9522623
"Rooty Hill Station",150.8451541,-33.771561
"Rosehill Station",151.02114,-33.8234715
"Roseville Station",151.1772549,-33.7841736
"Rydalmere Station",151.0292073,-33.810082
"Sandgate Station",151.7028982,-32.8723663
"Scarborough Station",150.9658586,-34.2649126
"Schofields Station",150.8738676,-33.7046401
"Scone Station",150.8670102,-32.0468766
"Sefton Station",151.0114608,-33.8852346
"Seven Hills Station",150.9359913,-33.7742437
"Shellharbour Junction Station",150.8449168,-34.5912885
"Singleton Station",151.1656322,-32.5719709
"Springwood Station",150.5622376,-33.699358
"St James Station",151.2104294,-33.8706943
"St Leonards Station",151.1941899,-33.8223718
"St Marys Station",150.7751569,-33.7620973
"St Peters Station",151.17439,-33.915858
"Stanmore Station",151.1639107,-33.8946689
"Stanwell Park Station",150.9813111,-34.2262528
"Strathfield Station",151.0940463,-33.8715351
"Summer Hill Station",151.1394088,-33.8904626
"Sutherland Station",151.0573477,-34.0315181
"Sydenham Station",151.1660247,-33.9147525
"Tahmoor Station",150.590093,-34.2234973
"Tallong Station",150.0864427,-34.718271
"Tarro Station",151.669836,-32.8090802
"Tascott Station",151.3185604,-33.4508667
"Telarah Station",151.5398161,-32.7233883
"Telopea Station",151.0414234,-33.7938644
"Tempe Station",151.1565327,-33.9241922
"Teralba Station",151.6035557,-32.9624906
"Thirroul Station",150.924784,-34.314395
"Thornleigh Station",151.0783812,-33.7318189
"Thornton Station",151.6398346,-32.7834829
"Toongabbie Station",150.9515113,-33.7871648
"Town Hall Station",151.2070838,-33.8735656
"Towradgi Station",150.9014448,-34.3838764
"Tuggerah Station",151.4202839,-33.3078434
"Turramurra Station",151.1283718,-33.732324
"Turrella Station",151.139968,-33.9299019
"Unanderra Station",150.8460096,-34.45474
"Valley Heights Station",150.5838362,-33.7044836
"Victoria Street Station",151.5937245,-32.7508459
"Villawood Station",150.976053,-33.880887
"Vineyard Station",150.8511339,-33.6504049
"Wahroonga Station",151.1169552,-33.7174876
"Waitara Station",151.1044132,-33.7100629
"Wallarobba Station",151.695724,-32.496162
"Warabrook Station",151.7100017,-32.8871906
"Waratah Station",151.7311891,-32.9024359
"Warnervale Station",151.4487793,-33.2474987
"Warrawee Station",151.1216807,-33.7241684
"Warrimoo Station",150.6023473,-33.721285
"Warwick Farm Station",150.9350804,-33.912885
"Waterfall Station",150.9944924,-34.134502
"Waverton Station",151.1976067,-33.8378454
"Wentworth Falls Station",150.3763691,-33.7094522
"Wentworthville Station",150.9727022,-33.8070931
"Werrington Station",150.7584283,-33.7681034
"West Ryde Station",151.0901785,-33.8073346
"Westmead Station",150.9879225,-33.808415
"Wickham Station",151.7609999,-32.9249437
"Wiley Park Station",151.06808,-33.9226901
"Windsor Station",150.8112687,-33.6137621
"Wingello Station",150.1582932,-34.6920996
"Wirragulla Station",151.7425029,-32.4629277
"Wolli Creek Station",151.1540547,-33.9285589
"Wollongong Station",150.8883194,-34.4269596
"Wollstonecraft Station",151.1918461,-33.8319307
"Wombarra Station",150.9532816,-34.2756766
"Wondabyne Station",151.2569349,-33.4921365
"Woodford Station",150.482211,-33.7354841
"Woolooware Station",151.1440549,-34.0476611
"Woonona Station",150.9152858,-34.3496068
"Woy Woy Station",151.3233311,-33.4857299
"Wyee Station",151.487126,-33.1805001
"Wynyard Station",151.2061878,-33.8657423
"Wyong Station",151.4252734,-33.2855746
"Yagoona Station",151.0244561,-33.9069623
"Yennora Station",150.9707794,-33.8647428
"Yerrinbool Station",150.543436,-34.3717115
"Zig Zag Station",150.2015218,-33.4714233
"Bell Station",150.278888,-33.5056603
"Newcastle Interchange",151.758525,-32.926256
