Station,LineGroup,Line
East Hills Station,T8,Airport & South Line
East Maitland Station,HUN,Hunter Line
#East Richmond Station,T1,Western Line
East Richmond Station,T5,Cumberland Line
Eastwood Station,T9,Northern Line
Edgecliff Station,T4,Eastern Suburbs & Illawarra Line
#Edgecliff Station,SCO,South Coast Line
Edmondson Park Station,T2,Inner-West Line
#Edmondson Park Station,T5,Cumberland Line
Emu Plains Station,T1,Western Line
#Emu Plains Station,BMT,Blue Mountains Line
#Engadine Station,T4,Eastern Suburbs & Illawarra Line
Engadine Station,SCO,South Coast Line
Epping Station,T9,Northern Line
#Epping Station,CCN,Central Coast & Newcastle Line
Erskineville Station,T3,Bankstown Line
Exeter Station,SHL,Southern Highland Line
Fairfield Station,T2,Inner-West Line
#Fairfield Station,T5,Cumberland Line
Fairy Meadow Station,SCO,South Coast Line
Fassifern Station,CCN,Central Coast & Newcastle Line
Faulconbridge Station,BMT,Blue Mountains Line
Flemington Station,T2,Inner-West Line
Gerringong Station,SCO,South Coast Line
Glenbrook Station,BMT,Blue Mountains Line
#Glenfield Station,SHL,Southern Highland Line
#Glenfield Station,T2,Inner-West Line
#Glenfield Station,T5,Cumberland Line
Glenfield Station,T8,Airport & South Line
Gordon Station,T9,Northern Line
#Gordon Station,T1,North Shore Line
#Gordon Station,CCN,Central Coast & Newcastle Line
Gosford Station,CCN,Central Coast & Newcastle Line
Goulburn Station,SHL,Southern Highland Line
#Granville Station,T1,North Shore Line
#Granville Station,T1,Western Line
Granville Station,T2,Inner-West Line
Green Square Station,T8,Airport & South Line
Greta Station,HUN,Hunter Line
Guildford Station,T2,Inner-West Line
#Guildford Station,T5,Cumberland Line
Gymea Station,T4,Eastern Suburbs & Illawarra Line
Hamilton Station,CCN,Central Coast & Newcastle Line
#Hamilton Station,HUN,Hunter Line
#Harris Park Station,T1,North Shore Line
#Harris Park Station,T1,Western Line
Harris Park Station,T2,Inner-West Line
#Harris Park Station,T5,Cumberland Line
Hawkesbury River Station,CCN,Central Coast & Newcastle Line
Hazelbrook Station,BMT,Blue Mountains Line
#Heathcote Station,T4,Eastern Suburbs & Illawarra Line
Heathcote Station,SCO,South Coast Line
#Helensburgh Station,T4,Eastern Suburbs & Illawarra Line
Helensburgh Station,SCO,South Coast Line
Hexham Station,HUN,Hunter Line
High Street Station,HUN,Hunter Line
Hilldale Station,HUN,Hunter Line
Holsworthy Station,T8,Airport & South Line
Homebush Station,T2,Inner-West Line
Hornsby Station,T9,Northern Line
#Hornsby Station,CCN,Central Coast & Newcastle Line
#Hornsby Station,T1,North Shore Line
Hurlstone Park Station,T3,Bankstown Line
Hurstville Station,T4,Eastern Suburbs & Illawarra Line
#Hurstville Station,SCO,South Coast Line
Ingleburn Station,T8,Airport & South Line
International Station,T8,Airport & South Line
#International Station,SHL,Southern Highland Line
Jannali Station,T4,Eastern Suburbs & Illawarra Line
Katoomba Station,BMT,Blue Mountains Line
Kiama Station,SCO,South Coast Line
#Killara Station,T1,North Shore Line
Killara Station,T9,Northern Line
Kings Cross Station,T4,Eastern Suburbs & Illawarra Line
#Kings Cross Station,SCO,South Coast Line
Kingsgrove Station,T8,Airport & South Line
Kingswood Station,T1,Western Line
Kirrawee Station,T4,Eastern Suburbs & Illawarra Line
Kogarah Station,T4,Eastern Suburbs & Illawarra Line
Koolewong Station,CCN,Central Coast & Newcastle Line
Kotara Station,CCN,Central Coast & Newcastle Line
Lakemba Station,T3,Bankstown Line
Lapstone Station,BMT,Blue Mountains Line
Lawson Station,BMT,Blue Mountains Line
Leightonfield Station,T3,Bankstown Line
Leppington Station,T2,Inner-West Line
#Leppington Station,T5,Cumberland Line
Leumeah Station,T8,Airport & South Line
Leura Station,BMT,Blue Mountains Line
Lewisham Station,T2,Inner-West Line
#Lidcombe Station,T1,North Shore Line
#Lidcombe Station,T1,Western Line
Lidcombe Station,T2,Inner-West Line
#Lidcombe Station,T3,Bankstown Line
#Lidcombe Station,T6,Carlingford Line
#Lidcombe Station,T7,Olympic Park Line
Linden Station,BMT,Blue Mountains Line
#Lindfield Station,T1,North Shore Line
Lindfield Station,T9,Northern Line
Lisarow Station,CCN,Central Coast & Newcastle Line
Lithgow Station,BMT,Blue Mountains Line
Liverpool Station,T2,Inner-West Line
#Liverpool Station,T3,Bankstown Line
#Liverpool Station,T5,Cumberland Line
Lochinvar Station,HUN,Hunter Line
Loftus Station,T4,Eastern Suburbs & Illawarra Line
#Loftus Station,SCO,South Coast Line
Lysaghts Station,SCO,South Coast Line
Macarthur Station,T8,Airport & South Line
#Macarthur Station,SHL,Southern Highland Line
Macdonaldtown Station,T2,Inner-West Line
Macquarie Fields Station,T8,Airport & South Line
Maitland Station,HUN,Hunter Line
#Marayong Station,T1,Western Line
Marayong Station,T5,Cumberland Line
Marrickville Station,T3,Bankstown Line
Martin Place Station,CYC,City Circle
#Martin Place Station,T4,Eastern Suburbs & Illawarra Line
#Martin Place Station,SCO,South Coast Line
Martins Creek Station,HUN,Hunter Line
Marulan Station,SHL,Southern Highland Line
Mascot Station,T8,Airport & South Line
Meadowbank Station,T9,Northern Line
Medlow Bath Station,BMT,Blue Mountains Line
Menangle Station,SHL,Southern Highland Line
Menangle Park Station,SHL,Southern Highland Line
Merrylands Station,T2,Inner-West Line
#Merrylands Station,T5,Cumberland Line
Metford Station,HUN,Hunter Line
#Milsons Point Station,T1,North Shore Line
#Milsons Point Station,T1,Western Line
#Milsons Point Station,T6,Carlingford Line
Milsons Point Station,T9,Northern Line
#Milsons Point Station,CCN,Central Coast & Newcastle Line
Mindaribba Station,HUN,Hunter Line
Minnamurra Station,SCO,South Coast Line
Minto Station,T8,Airport & South Line
Miranda Station,T4,Eastern Suburbs & Illawarra Line
Mittagong Station,SHL,Southern Highland Line
Morisset Station,CCN,Central Coast & Newcastle Line
Mortdale Station,T4,Eastern Suburbs & Illawarra Line
Moss Vale Station,SHL,Southern Highland Line
Mount Colah Station,T1,North Shore Line
Mount Druitt Station,T1,Western Line
Mount Kuring-gai Station,T1,North Shore Line
Mount Victoria Station,BMT,Blue Mountains Line
#Mulgrave Station,T1,Western Line
Mulgrave Station,T5,Cumberland Line
Museum Station,CYC,City Circle
#Museum Station,T2,Inner-West Line
#Museum Station,T3,Bankstown Line
#Museum Station,T8,Airport & South Line
#Museum Station,SHL,Southern Highland Line
Muswellbrook Station,HUN,Hunter Line
Narara Station,CCN,Central Coast & Newcastle Line
Narwee Station,T8,Airport & South Line
#Newcastle Station,HUN,Hunter Line
Newcastle Station,CCN,Central Coast & Newcastle Line
#Newcastle Interchange,HUN,Hunter Line
Newcastle Interchange,CCN,Central Coast & Newcastle Line
Newtown Station,T2,Inner-West Line
Niagara Park Station,CCN,Central Coast & Newcastle Line
Normanhurst Station,T9,Northern Line
North Strathfield Station,T9,Northern Line
#North Sydney Station,T1,North Shore Line
#North Sydney Station,T1,Western Line
#North Sydney Station,T6,Carlingford Line
North Sydney Station,T9,Northern Line
#North Sydney Station,CCN,Central Coast & Newcastle Line
North Wollongong Station,SCO,South Coast Line
Oak Flats Station,SCO,South Coast Line
Oatley Station,T4,Eastern Suburbs & Illawarra Line
Olympic Park Station,T7,Olympic Park Line
Otford Station,SCO,South Coast Line
Ourimbah Station,CCN,Central Coast & Newcastle Line
